LibID	QualityFilter	Replicate1_NumReads	Replicate2_NumReads	Replicate1_ExpressionMean	Replicate2_ExpressionMean	Replicate1_ExpressionNoise	Replicate2_ExpressionNoise
3308.000000	1.000000	1222.000000	1185.000000	7.064100	7.965500	0.041494	0.034894
3309.000000	1.000000	5350.000000	3992.000000	10.870000	11.445800	0.052762	0.035570
3310.000000	1.000000	1267.000000	2375.000000	7.081300	6.796000	0.052900	0.021786
3311.000000	1.000000	4017.000000	2805.000000	9.395400	10.293900	0.036864	0.042849
3312.000000	1.000000	1298.000000	1295.000000	6.895600	6.568800	0.042642	0.018989
3313.000000	1.000000	3494.000000	4476.000000	9.943100	11.359100	0.056264	0.048224
3314.000000	1.000000	2098.000000	3802.000000	6.189300	6.724600	0.028426	0.033782
3315.000000	1.000000	2714.000000	1751.000000	9.392400	10.033600	0.026018	0.038967
3316.000000	1.000000	2444.000000	2634.000000	7.314500	7.408200	0.043974	0.013783
3317.000000	1.000000	1847.000000	5745.000000	10.655300	11.543600	0.041209	0.039085
3318.000000	1.000000	8460.000000	16227.000000	4.453300	4.417900	0.057360	0.050266
3319.000000	1.000000	10950.000000	9127.000000	9.301700	9.809600	0.023134	0.043181
3320.000000	1.000000	5009.000000	8233.000000	2.538900	2.579000	0.050625	0.061454
3321.000000	1.000000	15455.000000	19007.000000	9.926200	10.262800	0.028798	0.023378
3322.000000	1.000000	4772.000000	8745.000000	4.765500	5.373600	0.057456	0.071824
3323.000000	1.000000	10999.000000	20192.000000	9.869900	10.443300	0.025440	0.034670
3324.000000	1.000000	2154.000000	5745.000000	7.586100	7.811600	0.057985	0.052441
3325.000000	1.000000	14680.000000	29955.000000	12.148000	12.630600	0.038848	0.039244
3326.000000	1.000000	2289.000000	5377.000000	5.844300	6.326000	0.055696	0.040643
3327.000000	1.000000	13559.000000	14902.000000	12.266200	13.216000	0.029104	0.038025
3328.000000	1.000000	5574.000000	6544.000000	7.532400	7.526600	0.053407	0.091870
3329.000000	1.000000	15972.000000	23373.000000	13.342300	14.240400	0.035419	0.059244
3330.000000	1.000000	6435.000000	18172.000000	4.358300	4.219100	0.042808	0.044605
3331.000000	1.000000	15963.000000	21521.000000	9.707500	10.000700	0.024649	0.030241
3332.000000	1.000000	5807.000000	14791.000000	7.099000	7.530000	0.052670	0.059780
3333.000000	1.000000	13325.000000	15357.000000	12.741700	13.828100	0.039920	0.039800
3334.000000	1.000000	6082.000000	14045.000000	6.285900	6.269000	0.041453	0.053130
3335.000000	1.000000	8707.000000	12209.000000	10.715400	11.607300	0.024586	0.047917
3336.000000	0.000000	1731.000000	2210.000000	1.138800	1.181300	0.150389	0.197758
3337.000000	1.000000	1807.000000	2489.000000	1.085900	1.161500	0.146842	0.129240
3338.000000	0.000000	944.000000	1038.000000	0.597700	0.519100	0.236877	0.109760
3339.000000	0.000000	658.000000	2263.000000	0.493500	0.575800	0.185675	0.202230
3340.000000	0.000000	481.000000	930.000000	0.321700	0.387300	0.090300	0.122360
3341.000000	0.000000	788.000000	412.000000	0.234500	0.365300	0.123763	0.018198
3342.000000	0.000000	893.000000	757.000000	0.466200	0.451800	0.162893	0.093330
3343.000000	0.000000	278.000000	314.000000	0.363600	0.429100	0.090963	0.214832
3344.000000	1.000000	1478.000000	837.000000	0.415900	0.397800	0.129960	0.137864
3345.000000	0.000000	711.000000	571.000000	0.253200	0.398600	0.421201	0.095419
3346.000000	1.000000	1377.000000	1203.000000	0.620400	0.630400	0.157530	0.134176
3347.000000	0.000000	101.000000	1715.000000	0.366000	0.347600	0.098659	0.178000
3348.000000	1.000000	2686.000000	1208.000000	0.286700	0.284800	0.231746	0.161604
3349.000000	0.000000	764.000000	2014.000000	0.213700	0.287600	0.103362	0.231939
3350.000000	1.000000	1764.000000	1644.000000	0.581300	0.537700	0.164187	0.119785
3351.000000	0.000000	722.000000	1464.000000	0.513400	0.697800	0.149924	0.217063
3352.000000	0.000000	4742.000000	7932.000000	0.231700	0.310000	0.220524	0.435336
3353.000000	0.000000	1893.000000	4644.000000	1.370000	1.550200	0.093636	0.234934
3354.000000	1.000000	2919.000000	5747.000000	0.373100	0.344800	0.278362	0.376628
3355.000000	0.000000	1370.000000	4548.000000	2.701500	2.028700	0.032292	0.125458
3356.000000	1.000000	4213.000000	6746.000000	0.234200	0.239400	0.314160	0.358202
3357.000000	1.000000	1952.000000	5434.000000	1.201400	1.320600	0.114176	0.157371
3358.000000	1.000000	1551.000000	4242.000000	0.337100	0.294900	0.277834	0.271337
3359.000000	0.000000	2267.000000	4137.000000	1.731100	1.997000	0.099351	0.142054
3360.000000	0.000000	3464.000000	6766.000000	0.193500	0.209200	0.262656	0.274995
3361.000000	0.000000	1899.000000	5965.000000	1.120200	1.217600	0.063051	0.171065
3362.000000	1.000000	6005.000000	10729.000000	0.123000	0.151900	0.257556	0.289767
3363.000000	0.000000	2707.000000	4820.000000	0.821800	0.749800	0.183355	0.136604
3364.000000	1.000000	4668.000000	5257.000000	0.172000	0.208800	0.324900	0.425234
3365.000000	0.000000	2647.000000	6029.000000	1.172300	1.118100	0.074693	0.175561
3366.000000	1.000000	2644.000000	7204.000000	0.302900	0.291400	0.296807	0.318999
3367.000000	1.000000	2030.000000	7584.000000	1.738800	1.728100	0.095605	0.121034
