Abundance and Variation Measurements for Strains Grown in YEPD and SD
			Corrected Abundance Measurements					SD/YEPD Ratios			Log2 (SD/YEPD) Ratios			Changes in YEPD		Changes in SD			Reason Absent?							
ORF	Name		Ave. YEPD	Error	Ave. SD	Error		Ratio	Error		Log2	Error		Up 99% confidence	Up 2-fold	Up 99% confidence	Up 2-fold		YEPD	SD			Ave. CV YEPD	DM YEPD	Ave. CV SD	DM SD
YMR110C																			Abundance Low	Abundance Low						
YMR111C																			Abundance Low	Abundance Low						
YMR112C	MED11		55.5	21.47																Abundance Low						
YMR113W	FOL3		52.5	21.43																Abundance Low						
YMR114C																			Failed QC/Abundance Low	Failed QC						
YMR115W	FMP24																		Abundance Low	Abundance Low						
YMR117C	SPC24		72.0	21.70																Abundance Low			25.3	-0.846		
YMR119W	ASI1																		Abundance Low	Abundance Low						
YMR120C	ADE17		3689.0	135.18	12621.0	501.62		3.421	0.185		1.775	0.078				1	1						27.755	14.516		
YMR121C	RPL15B		92.5	22.00	97.1	22.54		1.050	0.349		0.071	0.479											23.19	-0.852	18.005	1.311
YMR122W-A			1145.0	50.00	436.5	31.53		0.381	0.032		-1.391	0.122		1	1								16.125	1.321	18.45	4.429
YMR123W	PKR1		746.5	37.40	463.9	32.20		0.621	0.053		-0.686	0.123		1									13.705	-2.005	13.18	-0.756
YMR124W			55.5	21.48	67.5	22.77		1.216	0.624		0.282	0.741													17.83	-0.830
YMR125W	STO1		297.5	25.88	214.0	26.14		0.719	0.108		-0.475	0.216											18.77	0.580	15.725	0.332
YMR127C	SAS2																		Abundance Low	Abundance Low						
YMR128W	ECM16		231.0	24.48	100.0	23.46		0.433	0.111		-1.208	0.371		1	1								19.81	0.517	18.23	0.896
YMR129W	POM152																		Abundance Low	Abundance Low						
YMR131C	RRB1		1508.0	61.70	1302.0	62.79		0.863	0.055		-0.212	0.091											13.465	-0.865	13.02	0.113
YMR132C	JLP2																		Abundance Low	Abundance Low						
YMR134W			160.0	23.13	102.5	23.75		0.641	0.175		-0.642	0.394											22.225	1.426	16.225	-0.812
YMR135C	GID8				56.5	22.73													Abundance Low							
YMR137C	PSO2																		Abundance Low	Abundance Low						
YMR138W	CIN4				53.4	21.79													Abundance Low						18	0.061
YMR139W	RIM11		63.0	21.57	126.5	24.25		2.008	0.788		1.006	0.566													16.305	-0.267
YMR140W	SIP5		84.5	21.88	97.0	23.35		1.148	0.406		0.199	0.510											23.9	-0.515	17.36	-0.206
YMR142C	RPL13B		3994.0	145.62	2862.0	122.20		0.717	0.040		-0.481	0.081		1									12.58	-0.597	9.905	-2.462
YMR143W	RPS16A		3569.5	131.09	3020.0	129.27		0.846	0.048		-0.241	0.081		1									10.175	-3.089	9.555	-2.780
YMR144W																			Abundance Low	Abundance Low						
YMR145C	NDE1		159.0	22.89	195.0	25.47		1.226	0.238		0.294	0.280											25.11	3.643	18.54	2.738
YMR148W			169.0	23.27	171.1	24.06		1.013	0.199		0.018	0.284											21.08	0.439	16.705	1.241
YMR149W	SWP1		768.0	38.02	644.0	37.77		0.839	0.064		-0.254	0.111											13.87	-1.758	13.36	-0.366
YMR152W	YIM1		205.0	23.94	225.0	25.36		1.098	0.178		0.134	0.234											21.025	1.169	16.29	0.548
YMR153W	NUP53		131.0	22.40	62.5	21.94		0.477	0.186		-1.068	0.563											21.87	-0.501		
YMR157C	FMP39																		Abundance Low	Abundance Low						
YMR159C	ATG16																		Abundance Low	Abundance Low						
YMR160W																			Abundance Low	Abundance Low						
YMR161W	HLJ1		72.5	21.70																Abundance Low			29.745	3.820		
YMR162C	DNF3				75.1	22.22													Abundance Low						17.955	0.438
YMR163C																			Abundance Low	Abundance Low						
YMR164C	MSS11																		Abundance Low	Abundance Low						
YMR165C	SMP2		69.5	21.66	81.5	23.08		1.173	0.494		0.230	0.608											24	-2.146	18.345	0.140
YMR166C																			Abundance Low	Abundance Low						
YMR167W	MLH1																		Abundance Low	Abundance Low						
YMR168C	CEP3																		Abundance Low	Abundance Low						
YMR169C	ALD3																		Abundance Low	Abundance Low						
YMR170C	ALD2																		Abundance Low	Abundance Low						
YMR171C			102.5	22.16																Failed QC						
YMR172W	HOT1																		Failed QC/Abundance Low	Abundance Low						
YMR173W	DDR48		201.5	23.88	615.5	38.71		3.055	0.410		1.611	0.194				1	1						32.125	12.466	30.99	17.328
YMR174C	PAI3																		Abundance Low	Abundance Low					19.16	0.447
YMR175W	SIP18																		Abundance Low	Abundance Low						
YMR176W	ECM5																		Abundance Low	Abundance Low						
YMR177W	MMT1		47.5	21.21																Abundance Low						
YMR178W			98.5	22.11	127.5	24.33		1.294	0.381		0.372	0.425											23.91	0.177	15.325	-1.098
YMR179W	SPT21																		Abundance Low	Abundance Low						
YMR182C	RGM1																		Abundance Low	Abundance Low						
YMR183C	SSO2		121.0	22.24	83.5	22.30		0.690	0.224		-0.535	0.468											21.51	-1.387		
YMR184W			83.0	21.85	71.0	22.08		0.855	0.348		-0.226	0.588											23.43	-1.566	17.815	0.552
YMR186W	HSC82		242.0	24.68	114.0	23.68		0.471	0.109		-1.086	0.334		1	1								19.515	0.512	18.845	1.783
YMR188C	MRPS17		224.5	24.34	243.0	27.18		1.082	0.169		0.114	0.225											19.28	0.021	13.805	-1.212
YMR189W	GCV2		505.0	30.99	1540.0	71.94		3.050	0.235		1.609	0.111				1	1						22.96	6.298	12.705	-0.086
YMR190C	SGS1																		Abundance Low	Abundance Low						
YMR192W	APP2		111.0	22.29	111.0	23.63		1.000	0.293		0.000	0.422											19.765	-2.949	17.725	0.762
YMR193W	MRPL24		170.0	23.29	98.0	23.66		0.576	0.160		-0.795	0.400											20.715	0.342	16.065	-0.910
YMR194W	RPL36A		2312.5	88.45	1777.5	81.20		0.769	0.046		-0.380	0.086		1									11.1	-2.655	10.45	-2.214
YMR195W	ICY1																		Abundance Low	Abundance Low						
YMR196W			59.5	21.53	232.0	26.49		3.899	1.479		1.963	0.547				1	1						29.755	2.330	21.045	5.833
YMR198W	CIK1																		Abundance Low	Abundance Low						
YMR199W	CLN1																		Abundance Low	Abundance Low						
YMR200W	ROT1		635.5	34.28	439.0	31.18		0.691	0.062		-0.534	0.129		1									14	-2.077	14.52	0.173
YMR201C	RAD14																		Abundance Low	Abundance Low						
YMR202W	ERG2																		Abundance Low	Failed QC/Abundance Low						
YMR204C																			Abundance Low	Abundance Low						
YMR205C	PFK2		8363.5	295.71	6768.0	274.08		0.809	0.044		-0.305	0.078		1									13.55	0.932	13.045	1.076
YMR207C	HFA1																		Abundance Low	Abundance Low						
YMR208W	ERG12		294.5	25.82	173.0	25.31		0.587	0.100		-0.767	0.246		1									18.445	0.260	14.635	-1.016
YMR209C																			Abundance Low	Abundance Low						
YMR212C	EFR3		211.5	23.83	152.9	23.74		0.723	0.139		-0.468	0.277											19.125	-0.636	16.135	0.277
YMR213W	CEF1																		Abundance Low	Abundance Low						
YMR214W	SCJ1		74.5	21.75																Abundance Low			24.485	-1.281		
YMR215W	GAS3		301.0	25.95																Failed QC			17.83	-0.371		
YMR216C	SKY1		173.5	23.35	164.0	24.86		0.945	0.192		-0.081	0.292											18.75	-1.448	15.765	-0.184
YMR218C	TRS130																		Abundance Low	Abundance Low						
YMR219W	ESC1																		Abundance Low	Abundance Low						
YMR220W	ERG8		220.5	24.25	227.0	26.82		1.029	0.166		0.042	0.233											20.225	0.870	18.075	2.926
YMR221C	FMP42																		Abundance Low	Abundance Low						
YMR222C	FSH2		159.5	23.10	113.5	23.90		0.712	0.182		-0.491	0.369											21.46	0.705		
YMR223W	UBP8																		Abundance Low	Abundance Low						
YMR224C	MRE11																		Abundance Low	Abundance Low						
YMR225C	MRPL44				63.0	21.97													Abundance Low						17.705	0.073
YMR226C			213.5	24.13	209.5	26.30		0.981	0.166		-0.027	0.244											23.22	3.669	15.285	-0.099
YMR227C	TAF7																		Abundance Low	Abundance Low						
YMR229C	RRP5		919.5	43.01	425.0	33.43		0.462	0.042		-1.113	0.132		1	1								18.455	3.258	14.815	0.542
YMR230W	RPS10B		3072.5	114.17	2497.5	109.03		0.813	0.047		-0.299	0.083		1									11.115	-2.307	9.67	-2.775
YMR231W	PEP5		101.0	22.12	82.4	22.37		0.816	0.285		-0.293	0.503											22.065	-1.473	18.05	0.843
YMR232W	FUS2				176.5	25.18													Abundance Low						16.465	0.717
YMR233W																			Abundance Low	Abundance Low						
YMR234W	RNH1																		Abundance Low	Abundance Low						
YMR235C	RNA1		1270.0	53.98	830.0	45.78		0.654	0.046		-0.614	0.100		1									13.815	-0.816	12.335	-1.010
YMR236W	TAF9		248.5	24.82	156.9	23.93		0.631	0.115		-0.664	0.263		1									17.645	-1.163		
YMR237W	BCH1		235.5	24.55	238.5	26.68		1.013	0.155		0.018	0.221											17.14	-1.879	15.075	-0.063
YMR238W	DFG5		343.0	26.91	214.5	25.15		0.625	0.088		-0.677	0.204		1									16.96	-0.879	15.87	0.157
YMR239C	RNT1		72.0	21.70																Abundance Low			25.345	-0.421		
YMR240C	CUS1																		Abundance Low	Abundance Low						
YMR241W	YHM2		672.5	35.28	1333.0	62.68		1.982	0.140		0.987	0.102				1							20.855	4.971		
YMR242C	RPL20A		3259.5	120.52	2603.5	110.69		0.799	0.045		-0.324	0.081		1									11.805	-1.587		
YMR243C	ZRC1		692.0	35.81	366.5	29.07		0.530	0.050		-0.917	0.137		1									15.21	-0.645	15.1	0.248
YMR244C-A			182.5	23.28	161.7	23.86		0.886	0.173		-0.175	0.281											22.89	2.426	15.8	0.193
YMR246W	FAA4		1765.0	70.20	1104.5	55.23		0.626	0.040		-0.676	0.092		1									17.745	3.621	14.9	1.857
YMR250W	GAD1				70.5	22.72													Abundance Low							
YMR251W-A	HOR7		1662.5	66.37	3645.3	153.41		2.193	0.127		1.133	0.084				1	1						32.705	18.360	21.555	9.299
YMR252C																			Failed QC/Abundance Low	Failed QC/Abundance Low						
YMR253C			102.5	22.15	74.0	23.09		0.722	0.274		-0.470	0.547											27.805	4.658	16.825	-1.153
YMR255W	GFD1		136.0	22.69	142.8	23.50		1.050	0.246		0.070	0.338											21.63	-0.200	15.79	-0.068
YMR256C	COX7		261.0	25.08	503.5	33.31		1.929	0.225		0.948	0.168				1							20.835	2.168	15.385	1.295
YMR257C	PET111																		Abundance Low	Abundance Low						
YMR258C																			Abundance Low	Abundance Low						
YMR259C			179.0	23.46																Failed QC			21.565	1.379		
YMR260C	TIF11		1289.5	54.61	1173.6	56.45		0.910	0.058		-0.136	0.092											12.355	-2.240	12.81	-0.114
YMR261C	TPS3		615.5	33.99	655.5	39.50		1.065	0.087		0.091	0.118											18.14	1.954	13.8	0.181
YMR263W	SAP30																		Abundance Low	Failed QC						
YMR264W	CUE1																		Abundance Low	Abundance Low						
YMR266W	RSN1		340.0	26.87	200.8	24.82		0.590	0.087		-0.760	0.212		1									19.105	1.323	16.395	1.187
YMR267W	PPA2																		Abundance Low	Abundance Low						
YMR268C	PRP24																		Abundance Low	Abundance Low						
YMR269W			88.0	21.94	78.2	22.25		0.889	0.336		-0.170	0.546											23.825	-0.629	18.055	0.764
YMR270C	RRN9																		Abundance Low	Abundance Low						
YMR271C	URA10																		Abundance Low	Abundance Low						
YMR272C	SCS7		192.5	23.70	243.5	27.03		1.265	0.210		0.339	0.239											22	1.967	14.885	-0.164
YMR273C	ZDS1																		Abundance Low	Abundance Low						
YMR275C	BUL1																		Abundance Low	Abundance Low						
YMR276W	DSK2		154.5	23.01	60.5	22.86		0.392	0.159		-1.353	0.586											20.115	-0.961	17.5	-1.032
YMR277W	FCP1		149.5	22.92	100.5	23.41		0.672	0.187		-0.573	0.402											18.29	-2.834	16.45	-0.914
YMR278W			207.0	23.98	250.5	27.01		1.210	0.192		0.275	0.228											24.625	4.843	17.605	2.618
YMR280C	CAT8																		Abundance Low	Abundance Low						
YMR281W	GPI12																		Abundance Low	Abundance Low						
YMR282C	AEP2																		Abundance Low	Abundance Low						
YMR283C	RIT1																		Abundance Low	Abundance Low						
YMR284W	YKU70																		Abundance Low	Abundance Low						
YMR285C	NGL2		48.0	21.37																Abundance Low						
YMR286W	MRPL33		107.5	22.22	189.8	24.52		1.765	0.430		0.820	0.352				1							23.875	0.368	15.325	-0.027
YMR287C	MSU1																		Abundance Low	Abundance Low						
YMR288W	HSH155																		Abundance Low	Abundance Low						
YMR289W	ABZ2																		Abundance Low	Abundance Low						
YMR291W			474.0	30.16	619.5	38.46		1.307	0.116		0.386	0.128				1							20.155	3.371	14.41	0.739
YMR292W	GOT1		270.5	25.02	118.0	22.99		0.436	0.094		-1.197	0.311		1	1								19.445	0.652		
YMR293C																			Abundance Low	Abundance Low						
YMR295C			784.0	38.87	622.4	37.05		0.794	0.061		-0.333	0.112		1									17.79	2.134		
YMR296C	LCB1		586.0	32.83	384.0	29.68		0.655	0.063		-0.610	0.138		1									14.235	-2.072	13.24	-1.357
YMR297W	PRC1																		Abundance Low	Abundance Low						
YMR299C	DYN3																		Abundance Low	Abundance Low						
YMR300C	ADE4		416.0	28.68	1190.0	58.29		2.861	0.242		1.516	0.122				1	1						16.71	-0.467	22.32	9.351
YMR301C	ATM1		74.5	21.56	50.2	21.81		0.674	0.352		-0.569	0.753													17.49	-1.042
YMR302C	PRP12																		Abundance Low	Abundance Low						
YMR303C	ADH2		51.5	21.42																Abundance Low						
YMR304W	UBP15		141.0	22.77	189.0	25.45		1.340	0.282		0.423	0.303											22.44	0.991	15.815	0.148
YMR305C	SCW10		46.5	21.35																Abundance Low						
YMR307W	GAS1		6241.5	222.34	3654.0	151.90		0.585	0.032		-0.772	0.079		1											20.07	7.809
YMR308C	PSE1		463.5	29.89	319.5	29.02		0.689	0.077		-0.537	0.161		1									15.53	-1.282	14.855	0.196
YMR309C	NIP1		3167.5	117.39	1849.5	83.04		0.584	0.034		-0.776	0.084		1									12.535	-0.883	11.77	-0.880
YMR310C																			Abundance Low	Abundance Low						
YMR311C	GLC8		372.5	27.61	387.5	31.37		1.040	0.114		0.057	0.158											17.015	-0.484	13.125	-1.118
YMR313C	TGL3		55.5	21.47	78.0	22.96		1.405	0.683		0.491	0.701													18.005	0.047
YMR314W	PRE5		1667.0	66.97																Failed QC			10.85	-3.355		
YMR315W			91.5	21.98	469.0	33.89		5.126	1.286		2.358	0.362				1	1						29.73	5.157	19.18	5.140
YMR318C	ADH6		564.0	32.56	507.0	35.15		0.899	0.081		-0.154	0.130											22.235	5.834	18.83	4.954
YMR319C	FET4		146.0	22.65																Abundance Low			26.245	4.495		
YNL001W	DOM34		376.0	27.70	296.5	28.63		0.789	0.096		-0.343	0.175											16.395	-0.997	14.085	-0.616
YNL003C	PET8				97.5	22.54													Abundance Low							
YNL004W	HRB1		145.0	22.84	208.0	25.35		1.434	0.286		0.521	0.287											20.02	-1.271	16.92	1.004
YNL005C	MRP7		272.0	25.32																Failed QC			17.545	-1.028		
YNL006W	LST8				64.5	22.94													Abundance Low						16.655	-1.362
YNL007C	SIS1		1694.0	67.81	1391.0	66.39		0.821	0.051		-0.284	0.090		1									14.365	0.150	10.895	-1.966
YNL008C	ASI3																		Abundance Low	Abundance Low						
YNL010W			617.5	34.09	446.0	33.37		0.722	0.067		-0.469	0.134		1									14.83	-1.297	12.535	-1.543
YNL015W	PBI2		372.5	27.36	418.7	31.18		1.124	0.118		0.169	0.151											29.325	11.589	24.225	9.982
YNL016W	PUB1		1866.5	73.52	1396.0	67.25		0.748	0.047		-0.419	0.090		1									11.45	-2.597	10.82	-2.034
YNL020C	ARK1																		Abundance Low	Abundance Low						
YNL021W	HDA1		50.0	21.40																Abundance Low						
YNL022C																			Abundance Low	Abundance Low						
YNL024C																			Abundance Low	Abundance Low						
YNL025C	SSN8																		Abundance Low	Abundance Low						
YNL027W	CRZ1		74.5	21.73	114.5	23.73		1.537	0.550		0.620	0.516											24.145	-1.569	17.4	0.496
YNL030W	HHF2		7457.5	264.21	6484.6	261.64		0.870	0.047		-0.202	0.077		1												
YNL031C	HHT2				139.0	23.77													Abundance Low						16.645	-0.294
YNL032W	SIW14				65.0	22.93													Abundance Low						17.565	-0.597
YNL035C			75.0	21.74	75.0	23.13		1.000	0.423		0.000	0.611													15.83	-2.187
YNL036W	NCE103		78.5	21.79	221.5	25.58		2.822	0.848		1.497	0.434				1	1						24.23	-0.947	18.245	2.622
YNL037C	IDH1		342.0	26.89	980.0	51.95		2.865	0.272		1.519	0.137				1	1						24.19	6.239	12.77	-0.396
YNL039W	BDP1		59.0	21.52																Abundance Low						
YNL040W			63.0	21.57	50.0	22.63		0.794	0.450		-0.333	0.819											27.51	1.013		
YNL041C	COG6		118.5	22.40	125.0	23.98		1.055	0.284		0.077	0.389											24.235	1.745	16.655	-0.049
YNL042W	BOP3																		Abundance Low	Abundance Low						
YNL044W	YIP3		1031.5	46.03	825.5	44.13		0.800	0.056		-0.321	0.100		1									12.57	-2.458	11.755	-1.661
YNL045W			114.0	22.33	228.0	26.46		2.000	0.455		1.000	0.328				1							31.7	8.986	19.985	4.744
YNL046W																			Abundance Low	Abundance Low					18.715	0.107
YNL048W	ALG11		121.5	22.25	105.0	31.56		0.864	0.304		-0.211	0.508											24.53	1.237		
YNL049C	SFB2		145.0	22.63	119.5	23.39		0.824	0.206		-0.279	0.361											21.145	-0.605	16.72	-0.963
YNL051W	COG5		63.5	21.58	93.5	22.78		1.472	0.616		0.558	0.603											23.42	-3.077		
YNL052W	COX5A		253.5	24.67	293.5	27.17		1.158	0.155		0.211	0.194											21.65	2.739	17.14	2.036
YNL053W	MSG5																		Abundance Low	Abundance Low						
YNL055C	POR1		841.0	40.22	641.5	37.80		0.763	0.058		-0.391	0.109		1									31.33	15.868		
YNL056W			103.0	22.15																Abundance Low			22.335	-1.079		
YNL058C			101.0	22.14																Abundance Low			31.015	8.501		
YNL059C	ARP5		92.5	21.99	62.0	22.56		0.670	0.291		-0.577	0.627											22.005	-1.931		
YNL061W	NOP2		614.5	33.97	373.5	30.39		0.608	0.060		-0.718	0.142		1									17.215	1.178	15.21	0.793
YNL062C	GCD10				90.0	23.42													Failed QC						16.855	-0.509
YNL063W																			Abundance Low	Abundance Low						
YNL064C	YDJ1		4196.5	152.54	2413.0	103.61		0.575	0.032		-0.798	0.081		1									12.605	-0.561	11.9	-0.600
YNL065W	AQR1		108.0	22.04	70.0	22.13		0.648	0.244		-0.626	0.543											27.94	4.764		
YNL066W	SUN4		191.0	23.67	102.0	23.69		0.534	0.141		-0.905	0.380		1									19.855	-0.236	16.02	-1.120
YNL067W	RPL9B		20074.5	699.53	15258.2	605.47		0.760	0.040		-0.396	0.076		1									12.205	0.039	11.73	0.000
YNL068C	FKH2																		Abundance Low	Abundance Low						
YNL070W	TOM7		74.5	21.73	100.5	22.66		1.349	0.497		0.432	0.532											29.15	4.019		
YNL071W	LAT1		216.0	24.16	193.5	25.49		0.896	0.155		-0.159	0.249											23.185	3.918	16.645	1.111
YNL072W	RNH201																		Abundance Low	Abundance Low						
YNL073W	MSK1				84.5	23.08													Abundance Low						18.61	0.766
YNL074C	MLF3				98.5	23.63													Abundance Low						19.12	2.120
YNL076W	MKS1				61.0	22.66													Abundance Low							
YNL077W	APJ1																		Abundance Low	Abundance Low						
YNL078W	NIS1		65.0	21.61																Abundance Low			27.34	0.657		
YNL081C	SWS2		94.0	22.03																Failed QC			25.755	1.784		
YNL082W	PMS1																		Abundance Low	Abundance Low						
YNL083W	SAL1																		Abundance Low	Abundance Low						
YNL084C	END3		272.5	25.33	263.5	27.72		0.967	0.136		-0.048	0.203											19.02	0.434	13.415	-1.525
YNL085W	MKT1		197.0	23.79	101.5	23.47		0.515	0.134		-0.957	0.376		1									21.83	1.931	18.185	0.936
YNL086W					99.9	22.58													Abundance Low						16.15	-0.422
YNL087W	TCB2		367.5	27.51	206.5	25.13		0.562	0.080		-0.832	0.206		1									16.545	-0.967	18.205	3.029
YNL088W	TOP2		134.5	22.67																Abundance Low			21.915	0.337		
YNL090W	RHO2		133.5	22.44	85.5	22.33		0.640	0.199		-0.643	0.448											21.66	-0.485		
YNL091W	NST1		97.0	22.06	93.0	23.18		0.959	0.324		-0.061	0.487													16.54	-1.126
YNL094W	APP1																		Abundance Low	Abundance Low						
YNL095C																			Abundance Low	Abundance Low						
YNL096C	RPS7B		3956.0	144.37	2876.5	123.45		0.727	0.041		-0.460	0.081		1									12.195	-0.999	9.745	-2.615
YNL097C	PHO23				51.0	22.65													Abundance Low							
YNL098C	RAS2		879.0	41.34	764.0	41.69		0.869	0.063		-0.202	0.104											16.88	1.538		
YNL099C	OCA1																		Abundance Low	Abundance Low						
YNL100W			135.5	22.68	150.5	24.81		1.111	0.261		0.151	0.339											22.265	0.724	15.965	-0.096
YNL102W	POL1		63.5	21.59																Failed QC						
YNL103W	MET4		87.5	21.92	269.0	27.47		3.074	0.832		1.620	0.390				1	1						23.32	-0.867	14.805	-0.065
YNL104C	LEU4		562.0	32.51	1765.5	80.52		3.141	0.231		1.651	0.106				1	1						18.04	1.679	15.3	2.624
YNL106C	INP52																		Abundance Low	Abundance Low						
YNL107W	YAF9																		Abundance Low	Abundance Low						
YNL108C			116.5	22.37	117.0	24.07		1.004	0.283		0.006	0.406											26.715	4.344	17.64	0.957
YNL110C	NOP15		436.0	29.18	229.0	26.75		0.525	0.071		-0.929	0.194		1									15	-1.909	15.77	0.688
YNL111C	CYB5		263.0	24.87	108.6	22.77		0.413	0.095		-1.276	0.332		1	1								19.93	1.108	19.3	2.922
YNL112W	DBP2		3123.5	115.91	1713.5	78.06		0.549	0.032		-0.866	0.085		1									15.42	2.007	14.645	1.944
YNL113W	RPC19		499.5	30.86	472.7	32.42		0.946	0.087		-0.080	0.133											17.01	0.379	14.19	0.281
YNL115C																			Abundance Low	Abundance Low						
YNL116W	DMA2																		Abundance Low	Abundance Low						
YNL118C	DCP2		355.5	27.22	358.0	30.07		1.007	0.114		0.010	0.164											15.6	-2.038	13.68	-0.717
YNL119W	NCS2		83.5	21.86																Failed QC			23.695	-0.919		
YNL121C	TOM70		78.0	21.78	227.5	25.56		2.917	0.878		1.544	0.434				1	1						26.355	0.893	15.585	-0.286
YNL122C																			Abundance Low	Abundance Low						
YNL123W			119.5	22.43	56.5	22.57		0.473	0.209		-1.081	0.637														
YNL124W	NAF1																		Failed QC/Abundance Low	Abundance Low						
YNL125C	ESBP6																		Abundance Low	Abundance Low						
YNL126W	SPC98																		Failed QC	Failed QC						
YNL127W	FAR11																		Abundance Low	Abundance Low						
YNL129W	NRK1																		Abundance Low	Abundance Low						
YNL130C	CPT1		66.0	21.44	107.5	22.76		1.629	0.632		0.704	0.559														
YNL131W	TOM22																		Abundance Low	Abundance Low						
YNL132W	KRE33		370.5	27.56	258.0	27.40		0.696	0.090		-0.522	0.187		1									29.61	12.198	14.935	-0.069
YNL133C	FYV6																		Abundance Low	Abundance Low						
YNL134C					341.0	30.07													Abundance Low						39.255	24.540
YNL135C	FPR1		1425.5	58.60	1035.1	51.25		0.726	0.047		-0.462	0.093		1									12.34	-2.120	11.42	-1.631
YNL136W	EAF7																		Abundance Low	Abundance Low						
YNL137C	NAM9				91.5	23.20													Abundance Low						18.34	0.725
YNL138W	SRV2		319.0	26.36	365.5	30.40		1.146	0.134		0.196	0.169											19.795	1.772	14.085	-0.300
YNL139C	RLR1		106.0	22.21	74.5	23.36		0.703	0.265		-0.509	0.544											23.225	0.020	18.355	0.235
YNL141W	AAH1		554.0	32.29	226.0	26.78		0.408	0.054		-1.294	0.191		1	1								19.7	3.414	18.965	3.824
YNL142W	MEP2				57.5	21.96													Abundance Low							
YNL143C			272.0	25.34	269.1	26.61		0.989	0.134		-0.016	0.196											18.97	0.417	14.795	0.080
YNL146W			49.5	21.23	56.0	21.82		1.132	0.656		0.179	0.836													17.3	-0.489
YNL147W	LSM7		459.5	29.80	365.4	29.22		0.795	0.082		-0.331	0.149											15.055	-1.786	13.605	-0.646
YNL148C	ALF1		53.0	21.44																Abundance Low						
YNL149C			286.0	25.36	227.9	25.57		0.797	0.114		-0.328	0.206											23.765	5.251		
YNL152W																			Abundance Low	Abundance Low						
YNL153C	GIM3		644.0	34.89	803.6	43.36		1.248	0.095		0.319	0.110				1							14.875	-1.077	11.36	-1.950
YNL154C	YCK2		337.5	26.49	277.5	26.86		0.822	0.102		-0.282	0.180											17.335	-0.606	16.06	0.856
YNL155W			137.5	22.72	63.0	22.90		0.458	0.183		-1.126	0.576											21.555	0.123	18.095	-0.462
YNL156C	NSG2		80.5	21.82	96.5	23.62		1.199	0.438		0.262	0.527											26.975	1.798	16.63	-0.647
YNL157W			152.5	22.98	165.4	24.03		1.084	0.227		0.117	0.302											21.925	0.702	15.87	0.300
YNL158W			212.5	24.09	112.1	22.82		0.528	0.123		-0.922	0.336		1									18.065	-1.554	18.04	1.477
YNL161W	CBK1																		Failed QC/Abundance Low	No Measurement						
YNL162W	RPL42A		2721.0	102.28	2219.5	97.94		0.816	0.047		-0.294	0.084		1									12.215	-1.348	9.315	-3.195
YNL162W-A																			Abundance Low	Abundance Low						
YNL163C	RIA1		216.5	24.17	174.5	25.16		0.806	0.147		-0.311	0.263											18.32	-1.155	16.725	0.497
YNL164C	IBD2																		Abundance Low	Abundance Low						
YNL166C	BNI5		240.0	24.64	162.5	25.10		0.677	0.126		-0.563	0.268											18.09	-1.203	14.87	-0.944
YNL167C	SKO1																		Abundance Low	Abundance Low						
YNL168C	FMP41		70.5	21.68	105.5	23.82		1.496	0.571		0.582	0.550											26.205	0.059	17.345	0.453
YNL169C	PSD1																		Abundance Low	Abundance Low						
YNL172W	APC1																		Abundance Low	Abundance Low						
YNL173C	MDG1		154.5	22.79	176.0	24.17		1.139	0.230		0.188	0.291											25.64	3.850	18.155	1.204
YNL175C	NOP13		282.5	25.54	179.5	25.48		0.635	0.107		-0.654	0.243		1									19.205	0.828	14.97	-0.621
YNL176C																			Abundance Low	Abundance Low						
YNL177C	MRPL22		72.5	21.71	126.5	24.27		1.745	0.621		0.803	0.513											24.805	-0.857	15.68	-0.835
YNL180C	RHO5		110.5	22.08	158.5	23.81		1.434	0.359		0.520	0.361											24.325	0.691	19.47	2.613
YNL181W			117.5	22.39	73.0	22.61		0.621	0.226		-0.687	0.525											21.64	-0.549		
YNL183C	NPR1		83.5	21.86	193.5	25.62		2.317	0.680		1.212	0.423				1	1						25.55	0.327	15.545	-0.025
YNL185C	MRPL19		179.5	23.46	223.0	25.25		1.242	0.215		0.313	0.249											19.59	-0.645	14.05	-0.992
YNL186W	UBP10		326.0	26.52	183.5	25.32		0.563	0.090		-0.829	0.231		1									17.19	-0.712	16.225	0.506
YNL189W	SRP1																		Failed QC	Failed QC						
YNL190W			560.0	32.48																Failed QC			14.97	-1.324		
YNL191W			155.5	23.03	79.5	23.21		0.511	0.167		-0.968	0.472											19.9	-1.096	17.96	0.171
YNL194C																			Abundance Low	Abundance Low						
YNL197C	WHI3		318.0	26.34	305.5	28.53		0.961	0.120		-0.058	0.180											15.93	-2.027	13.88	-0.771
YNL198C																			Abundance Low	Abundance Low						
YNL200C																			Abundance Low	Abundance Low						
YNL201C	PSY2		64.5	21.59	82.5	22.96		1.279	0.557		0.355	0.628											24.275	-2.799	17.855	-0.203
YNL206C	RTT106		95.5	22.04																Abundance Low			26.27	2.537		
YNL207W	RIO2		323.5	26.46	213.0	26.36		0.658	0.098		-0.603	0.214		1									15.595	-2.273	14.675	-0.591
YNL209W	SSB2		7400.5	262.56	5151.5	210.81		0.696	0.038		-0.523	0.078		1									11.525	-1.173	15.95	3.871
YNL211C																			Abundance Low	Abundance Low						
YNL212W	VID27		201.0	23.63	143.9	23.58		0.716	0.144		-0.483	0.291											18.865	-1.123	16.655	0.692
YNL213C																			Abundance Low	Abundance Low						
YNL214W	PEX17																		Abundance Low	Abundance Low						
